#,Associated Cell Fates,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
139,,2.0879e-10,0,0,0,1,0,0,0,1,0,1,0
140,,2.0146e-07,0,0,0,1,0,0,0,1,0,1,1
141,,3.7568e-09,0,0,0,1,0,0,0,1,1,0,0
142,,6.7004e-12,0,0,0,1,0,0,0,1,1,0,1
143,,3.3472e-13,0,0,0,1,0,0,0,1,1,1,0
144,,3.9209e-12,0,0,0,1,0,0,0,1,1,1,1
145,,2.0429e-07,0,0,0,1,0,0,1,0,0,0,0
146,,0.00011586,0,0,0,1,0,0,1,0,0,0,1
147,,5.675e-09,0,0,0,1,0,0,1,0,0,1,0
148,,0.00011565,0,0,0,1,0,0,1,0,0,1,1
149,,7.8917e-08,0,0,0,1,0,0,1,0,1,0,0
150,,5.776e-07,0,0,0,1,0,0,1,0,1,0,1
151,,6.2066e-12,0,0,0,1,0,0,1,0,1,1,0
152,,2.3285e-09,0,0,0,1,0,0,1,0,1,1,1
153,,2.0025e-10,0,0,0,1,0,0,1,1,0,0,0
154,,1.0269e-08,0,0,0,1,0,0,1,1,0,0,1
155,,5.6444e-08,0,0,0,1,0,0,1,1,0,1,0
156,M phase,0.0012447,0,0,0,1,0,0,1,1,0,1,1
157,,3.7668e-12,0,0,0,1,0,0,1,1,1,0,0
158,,1.3294e-10,0,0,0,1,0,0,1,1,1,0,1
159,,1.0049e-15,0,0,0,1,0,0,1,1,1,1,0
160,,6.6361e-11,0,0,0,1,0,0,1,1,1,1,1
161,,3.14e-07,0,0,0,1,0,1,0,0,0,0,0
162,,5.475e-10,0,0,0,1,0,1,0,0,0,0,1
163,,2.1373e-10,0,0,0,1,0,1,0,0,0,1,0
164,,8.1906e-11,0,0,0,1,0,1,0,0,0,1,1
165,,8.0243e-08,0,0,0,1,0,1,0,0,1,0,0
166,,1.9195e-10,0,0,0,1,0,1,0,0,1,0,1
167,,3.8075e-12,0,0,0,1,0,1,0,0,1,1,0
168,,9.8874e-11,0,0,0,1,0,1,0,0,1,1,1
169,,2.0487e-10,0,0,0,1,0,1,0,1,0,0,0
170,,6.0187e-11,0,0,0,1,0,1,0,1,0,0,1
171,,3.5776e-13,0,0,0,1,0,1,0,1,0,1,0
172,,3.1918e-09,0,0,0,1,0,1,0,1,0,1,1
173,,3.7306e-12,0,0,0,1,0,1,0,1,1,0,0
174,,7.8215e-15,0,0,0,1,0,1,0,1,1,0,1
175,,2.8351e-16,0,0,0,1,0,1,0,1,1,1,0
176,,1.7561e-13,0,0,0,1,0,1,0,1,1,1,1
177,,6.5309e-09,0,0,0,1,0,1,1,0,0,0,0
178,,5.7974e-09,0,0,0,1,0,1,1,0,0,0,1
179,,2.2744e-07,0,0,0,1,0,1,1,0,0,1,0
180,,1.7896e-06,0,0,0,1,0,1,1,0,0,1,1
181,,8.161e-08,0,0,0,1,0,1,1,0,1,0,0
182,,2.1718e-06,0,0,0,1,0,1,1,0,1,0,1
183,,2.5687e-09,0,0,0,1,0,1,1,0,1,1,0
184,,2.1774e-06,0,0,0,1,0,1,1,0,1,1,1
185,,7.5454e-13,0,0,0,1,0,1,1,1,0,0,0
186,,2.9896e-09,0,0,0,1,0,1,1,1,0,0,1
187,,3.333e-09,0,0,0,1,0,1,1,1,0,1,0
188,,6.7136e-05,0,0,0,1,0,1,1,1,0,1,1
189,,3.6108e-12,0,0,0,1,0,1,1,1,1,0,0
190,,4.2151e-13,0,0,0,1,0,1,1,1,1,0,1
191,,5.8585e-13,0,0,0,1,0,1,1,1,1,1,0
192,,3.783e-09,0,0,0,1,0,1,1,1,1,1,1
193,,5.872e-05,0,0,0,1,1,0,0,0,0,0,0
194,,5.8786e-08,0,0,0,1,1,0,0,0,0,0,1
195,,2.726e-09,0,0,0,1,1,0,0,0,0,1,0
196,,2.7336e-12,0,0,0,1,1,0,0,0,0,1,1
197,,0.00053645,0,0,0,1,1,0,0,0,1,0,0
198,,5.3699e-07,0,0,0,1,1,0,0,0,1,0,1
199,,1.0117e-11,0,0,0,1,1,0,0,0,1,1,0
200,,1.025e-14,0,0,0,1,1,0,0,0,1,1,1
201,,5.8469e-08,0,0,0,1,1,0,0,1,0,0,0
202,,6.1171e-11,0,0,0,1,1,0,0,1,0,0,1
